#chrom	start	end	cn	start_refined	end_refined
chr14	32640000	33326099	7.137054886414667	False	True
chr14	33326100	33383999	9.064909749883839	True	True
chr14	33384000	33725699	7.572512936867744	True	True
chr14	33725700	33850799	9.160411440533666	True	True
chr14	33850800	34605899	10.743039621776452	True	True
chr14	34605900	36376199	9.023951835644429	True	True
chr14	36376200	36977999	7.484380593999624	True	True
chr14	36978000	37062599	9.288423690609218	True	True
chr14	37062600	37175999	7.377519443523963	True	True
chr14	37176000	37190000	5.155914824988516	True	False
