#chrom	start	end	cn	start_refined	end_refined
chr7	105820000	108177299	4.6595291060696535	False	True
chr7	108177300	108201599	2.6449924773540414	True	True
chr7	108201600	108611099	4.636394893894515	True	True
chr7	108611100	109363199	6.314154830973335	True	True
chr7	109363200	109869599	8.22338185962201	True	True
chr7	109869600	110631299	6.1813934539891555	True	True
chr7	110631300	111696299	4.882219524782535	True	True
chr7	111696300	111989399	6.251501455331014	True	True
chr7	111989400	112075799	8.604522390993242	True	True
chr7	112075800	112365599	7.356342671475595	True	True
chr7	112365600	112452899	6.026104554225663	True	True
chr7	112452900	112550000	3.276371974159166	True	False
