#chrom	start	end	cn	start_refined	end_refined
chr17	37150000	37241699	3.65903202579245	False	True
chr17	37241700	37898099	13.117629922184012	True	True
chr17	37898100	38081699	7.126098994804879	True	True
chr17	38081700	38246099	5.177970369885786	True	True
chr17	38246100	38480699	11.562793114208155	True	True
chr17	38480700	39641099	7.369191161956063	True	True
chr17	39641100	39750299	20.26187859672284	True	True
chr17	39750300	40068899	21.341668050743262	True	True
chr17	40068900	41214899	1.323104001212447	True	True
chr17	41214900	41462399	31.625079337751266	True	True
chr17	41462400	41899799	21.721997617752013	True	True
chr17	41899800	42900000	1.3678772053458126	True	False
